Zone,No.,Room No.,Room Type,น้ำ (แรกเข้า),ไฟ (แรกเข้า),น้ำ (ล่าสุด),ไฟ (ล่าสุด),ยูนิตน้ำ,ยูนิตไฟ,วันที่โอนประกัน+ล่วงหน้า,หมายเหตุ (บช.โอนเข้า),ค่าประกัน,ค่าเช่าล่วงหน้า พ.ค,ค่าน้ำ (บาท),VAt7% ค่าน้ำ,ค่าไฟ (บาท),VAt7% ค่าไฟ,ค่าห้องเดือน เม.ย 2569 (บาท),หัก 5%,ค่าเช่าหลังหัก 5%,วันที่จ่าย ค่าเช่า,จำนวนเงิน (บาท),บัญชีรับโอนค่าเช่า,Unnamed: 24,ค่าประกัน.1,ค่าเช่ารับล่วงหน้า ค่าเช่า เม.ย,ค่าเช่าห้อง เม.ย,ค่าทำความสะอาด,Vat7% ค่าทำความสะอาด,ค่าปรับ,Vat7% ค่าปรับ,ค่าน้ำ,Vat7% ค่าน้ำ,ค่าไฟ,Vat7% ค่าไฟ,น้ำ (แรกเข้า).1,ไฟ (แรกเข้า).1,น้ำ (ล่าสุด).1,ไฟ (ล่าสุด).1,ยูนิตน้ำ.1,ยูนิตไฟ.1,ค่าใช้จ่ายทั้งสิ้น,เงินโอนคืนผู้เช่าย้ายออก,วันที่คืนเงินย้ายออก,วันที่ย้ายออก,บัญชีที่ใช้โอนคืนค่าเช่า,เงินประกัน (คงเหลือ),วันเข้าพัก,ระยะเวลา,ประมาณวันย้ายออก,สถานะ มัดจำ+ประกัน,หมายเหตุ
C,11,3004,Suite OUT 15/4/69,45,2058,51,2338,6,280,,,,,180.0,12.600000000000001,2240,156.8,0,0.0,0.0,,2589.4,,,11000.0,11000.0,4500.0,600.0,42.00000000000001,,0.0,120.0,8.4,2152,150.64000000000001,51.0,2338.0,55.0,2607.0,4.0,269.0,7573.04,14426.96,รอโอนคืน,2569-04-15 00:00:00,k.ณรงค์ 0581083912,0.0,2568-11-14 00:00:00,1 ปี,,,
C,12,3026,Studio,38,2372,39,2395,1,23,,,,,30.0,2.1,184,12.88,5500,275.0,5225.0,,5453.98,,,,,,,,,,,,,,,,,,,,,,,,,5500.0,2569-01-16 00:00:00,1 ปี,,,
C,13,3027,Studio,96,1968,96,2059,0,91,,,,,0.0,0.0,728,50.96000000000001,5500,275.0,5225.0,,6003.96,,,,,,,,,,,,,,,,,,,,,,,,,5500.0,2569-01-19 00:00:00,1 ปี,,,
C,14,3028,Studio,32,1812,35,2035,3,223,,,,,90.0,6.300000000000001,1784,124.88000000000001,5500,275.0,5225.0,,7230.18,,,,,,,,,,,,,,,,,,,,,,,,,5500.0,2569-01-19 00:00:00,1 ปี,,,
C,15,3029,Suite OUT 15/4/69,91,2445,92,2471,1,26,,,,,30.0,2.1,208,14.560000000000002,3193.55,159.6775,3033.8725000000004,,3288.5325000000003,,,11000.0,11000.0,4500.0,600.0,42.00000000000001,300.0,21.000000000000004,210.0,14.700000000000001,3088,216.16000000000003,92.0,2471.0,99.0,2857.0,7.0,386.0,8991.86,13008.14,รอโอนคืน,2569-04-15 00:00:00,k.ณรงค์ 0581083912,0.0,2569-03-23 00:00:00,1 ปี,,,
C,16,3036,Studio,54,2660,57,2821,3,161,,,,,90.0,6.300000000000001,1288,90.16000000000001,5500,275.0,5225.0,,6699.46,,,,,,,,,,,,,,,,,,,,,,,,,5500.0,2569-01-09 00:00:00,1 ปี,,,
C,17,3038,Studio,56,2190,63,2368,7,178,,,,,210.0,14.700000000000001,1424,99.68,5500,275.0,5225.0,,6973.38,,,,,,,,,,,,,,,,,,,,,,,,,5500.0,2569-01-09 00:00:00,1 ปี,,,
W,18,4054,Studio,67,2791,67,3015,0,224,,,,,0.0,0.0,1792,125.44000000000001,5500,275.0,5225.0,,7142.4400000000005,,,,,,,,,,,,,,,,,,,,,,,,,5500.0,2568-03-16 00:00:00,1 ปี,2569-01-31 00:00:00,,
W,19,4055,Studio,42,2541,48,2708,6,167,,,,,180.0,12.600000000000001,1336,93.52000000000001,5500,275.0,5225.0,,6847.12,,,,,,,,,,,,,,,,,,,,,,,,,5500.0,2568-03-16 00:00:00,1 ปี,2569-01-31 00:00:00,,
W,20,4056,Studio,44,1982,48,2181,4,199,,,,,120.0,8.4,1592,111.44000000000001,5500,275.0,5225.0,,7056.84,,,,,,,,,,,,,,,,,,,,,,,,,5500.0,2568-03-16 00:00:00,1 ปี,2569-01-31 00:00:00,,
