Zone,No.,Room No.,Room Type,น้ำ (แรกเข้า),ไฟ (แรกเข้า),น้ำ (ล่าสุด),ไฟ (ล่าสุด),ยูนิตน้ำ,ยูนิตไฟ,วันที่โอนประกัน+ล่วงหน้า,หมายเหตุ (บช.โอนเข้า),ค่าประกัน,ค่าเช่าล่วงหน้า,ค่าน้ำ (บาท),Vat7% ค่าน้ำ,ค่าไฟ (บาท),Vat7% ค่าไฟ,ค่าห้องเดือน เม.ย 2569 (บาท),หัก 5%,ค่าเช่าหลังหัก 5%,วันที่จ่าย ค่าเช่า,จำนวนเงิน (บาท),บัญชีรับโอนค่าเช่า,ค่าประกัน.1,ค่าเช่าล่วงหน้า/ค่าห้อง,ค่าทำความสะอาด,ค่าปรับ,ค่าน้ำ,ค่าไฟ,น้ำ (แรกเข้า).1,ไฟ (แรกเข้า).1,น้ำ (ล่าสุด).1,ไฟ (ล่าสุด).1,ยูนิตน้ำ.1,ยูนิตไฟ.1,ค่าใช้จ่ายทั้งสิ้น,ยอดเงินโอนคืนผู้เช่าย้ายออก ,วันที่คืนเงินย้ายออก,เงินโอนคืนผู้เช่าย้ายออก ,วันที่คืนเงินย้ายออก ,วันที่ย้ายออก,บัญชีที่ใช้โอนคืนค่าเช่า,เงินประกัน+ล่วงหน้า (คงเหลือ),วันเข้าพัก,ระยะเวลา,ประมาณวันย้ายออก,สถานะ,หมายเหตุ
W,43,4012,Studio,63,2512,68,2789,5.0,277.0,-,-,-,-,150.0,10.500000000000002,2216.0,155.12,4500,225.0,4275.0,,6806.62,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2568-01-13 00:00:00,6 เดือน,2568-07-31 00:00:00,,
W,44,4013,Studio,74,2486,74,2487,0.0,1.0,-,-,-,-,0.0,0,8.0,0.56,4500,225.0,4275.0,,4283.56,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2568-01-13 00:00:00,6 เดือน,2568-07-31 00:00:00,,
W,45,4014,Studio,60,2229,62,2421,2.0,192.0,-,-,-,-,60.0,4.2,1536.0,107.52000000000001,4500,225.0,4275.0,,5982.72,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2568-01-13 00:00:00,6 เดือน,2568-07-31 00:00:00,,
W,46,4015,Studio,76,2271,84,2545,8.0,274.0,-,-,-,-,240.0,16.8,2192.0,153.44000000000003,4500,225.0,4275.0,,6877.24,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2568-01-13 00:00:00,6 เดือน,2568-07-31 00:00:00,,
W,47,4016,Studio,44,1465,47,1758,3.0,293.0,-,-,-,-,90.0,6.300000000000001,2344.0,164.08,4500,225.0,4275.0,,6879.38,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2568-01-13 00:00:00,6 เดือน,2568-07-31 00:00:00,,
W,48,4017,Studio,33,1680,35,1890,2.0,210.0,-,-,-,-,60.0,4.2,1680.0,117.60000000000001,4500,225.0,4275.0,,6136.8,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2568-01-13 00:00:00,6 เดือน,2568-07-31 00:00:00,,
W,49,4018,Studio,52,1948,54,2189,2.0,241.0,-,-,-,-,60.0,4.2,1928.0,134.96,4500,225.0,4275.0,,6402.16,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2568-01-13 00:00:00,6 เดือน,2568-07-31 00:00:00,,
W,50,4019,Studio,39,1870,40,2089,1.0,219.0,-,-,-,-,30.0,2.1,1752.0,122.64000000000001,4500,225.0,4275.0,,6181.74,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2568-01-13 00:00:00,6 เดือน,2568-07-31 00:00:00,,
W,51,4020,Studio,65,3496,70,4009,5.0,513.0,-,-,-,-,150.0,10.500000000000002,4104.0,287.28000000000003,4500,225.0,4275.0,,8826.779999999999,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2568-01-13 00:00:00,6 เดือน,2568-07-31 00:00:00,,
W,52,4021,Studio,17,1006,17,1151,0.0,145.0,,,,,0.0,0,1160.0,81.2,4500,225.0,4275.0,,5516.2,M Estate 1983859190,,,,,,,,,,,,,,,,,,,,8775.0,2568-11-01 00:00:00,6 เดือน,,,
W,53,4027,Studio,10,291,10,291,0.0,0.0,,,,,0.0,0,0.0,0.0,4500,225.0,4275.0,,4275.0,,,,,,,,,,,,,,,,,,,,,8775.0,2568-11-01 00:00:00,6 เดือน,,,
W,54,4028,Studio,6,317,6,317,0.0,0.0,,,,,0.0,0,0.0,0.0,4500,225.0,4275.0,,4275.0,,,,,,,,,,,,,,,,,,,,,8775.0,2568-11-01 00:00:00,6 เดือน,,,
W,55,4029,Studio,9,298,9,298,0.0,0.0,,,,,0.0,0,0.0,0.0,4500,225.0,4275.0,,4275.0,,,,,,,,,,,,,,,,,,,,,8775.0,2568-11-01 00:00:00,6 เดือน,,,
W,56,4030,Studio,25,1230,25,1230,0.0,0.0,,,,,0.0,0,0.0,0.0,4500,225.0,4275.0,,4275.0,,,,,,,,,,,,,,,,,,,,,8775.0,2568-11-01 00:00:00,6 เดือน,,,
W,57,4031,Studio,25,1384,25,1384,0.0,0.0,,,,,0.0,0,0.0,0.0,4500,225.0,4275.0,,4275.0,,,,,,,,,,,,,,,,,,,,,8775.0,2568-11-01 00:00:00,6 เดือน,,,
W,58,4032,Studio,16,1156,16,1156,0.0,0.0,,,,,0.0,0,0.0,0.0,4500,225.0,4275.0,,4275.0,,,,,,,,,,,,,,,,,,,,,8775.0,2568-11-01 00:00:00,6 เดือน,,,
W,59,4033,Studio,18,344,18,344,0.0,0.0,,,,,0.0,0,0.0,0.0,4500,225.0,4275.0,,4275.0,,,,,,,,,,,,,,,,,,,,,8775.0,2568-11-01 00:00:00,6 เดือน,,,
W,60,4040,Studio,26,901,26,901,0.0,0.0,,,,,0.0,0,0.0,0.0,4500,225.0,4275.0,,4275.0,,,,,,,,,,,,,,,,,,,,,8775.0,2568-11-01 00:00:00,6 เดือน,,,
W,61,4058,Studio,26,1042,28,1243,2.0,201.0,-,-,0,0,60.0,4.2,1608.0,112.56000000000002,4500,225.0,4275.0,,6059.76,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2568-03-12 00:00:00,6 เดือน,31/9/2568,,
W,62,4059,Studio,30,1566,31,1700,1.0,134.0,-,-,0,0,30.0,2.1,1072.0,75.04,4500,225.0,4275.0,,5454.139999999999,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2568-03-12 00:00:00,6 เดือน,31/9/2568,,
W,63,4060,Studio,35,1263,36,1314,1.0,51.0,-,-,0,0,30.0,2.1,408.0,28.560000000000002,4500,225.0,4275.0,,4743.66,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2568-03-12 00:00:00,6 เดือน,31/9/2568,,
W,64,4065,Studio,12,218,12,218,0.0,0.0,,,,,0.0,0,0.0,0.0,4500,225.0,4275.0,,4275.0,,,,,,,,,,,,,,,,,,,,,8775.0,2568-11-01 00:00:00,6 เดือน,,,
W,65,4067,Studio,5,360,5,360,0.0,0.0,,,,,0.0,0,0.0,0.0,4500,225.0,4275.0,,4275.0,,,,,,,,,,,,,,,,,,,,,8775.0,2568-11-01 00:00:00,6 เดือน,,,
W,66,4068,Studio,41,203,41,203,0.0,0.0,,,,,0.0,0,0.0,0.0,4500,225.0,4275.0,,4275.0,,,,,,,,,,,,,,,,,,,,,8775.0,2568-11-01 00:00:00,6 เดือน,,,
W,67,4069,Studio,57,1508,57,1570,0.0,62.0,-,-,0,0,0.0,0,496.0,34.720000000000006,4500,225.0,4275.0,,4805.72,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2568-03-12 00:00:00,6 เดือน,31/9/2568,,
W,68,4070,Studio,30,1840,30,1842,0.0,2.0,-,-,0,0,0.0,0,16.0,1.12,4500,225.0,4275.0,,4292.12,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2568-03-12 00:00:00,6 เดือน,31/9/2568,,
W,69,4071,Studio,26,761,26,761,0.0,0.0,-,-,0,0,0.0,0,0.0,0.0,4500,225.0,4275.0,,4275.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2568-03-12 00:00:00,6 เดือน,31/9/2568,,
W,70,4072,Studio,30,1371,30,1372,0.0,1.0,-,-,0,0,0.0,0,8.0,0.56,4500,225.0,4275.0,,4283.56,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2568-03-12 00:00:00,6 เดือน,31/9/2568,,
W,71,4073,Studio,54,1828,59,2053,5.0,225.0,-,-,0,0,150.0,10.500000000000002,1800.0,126.00000000000001,4500,225.0,4275.0,,6361.5,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2568-03-12 00:00:00,6 เดือน,31/9/2568,,
W,72,4074,Studio,45,1412,47,1673,2.0,261.0,-,-,0,0,60.0,4.2,2088.0,146.16000000000003,4500,225.0,4275.0,,6573.36,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2568-03-12 00:00:00,6 เดือน,31/9/2568,,
W,73,4075,Studio,50,2936,55,3338,5.0,402.0,-,-,0,0,150.0,10.500000000000002,3216.0,225.12000000000003,4500,225.0,4275.0,,7876.62,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2568-03-12 00:00:00,6 เดือน,31/9/2568,,
W,74,4076,Studio,8,302,8,302,0.0,0.0,,,,,0.0,0,0.0,0.0,4500,225.0,4275.0,,4275.0,,,,,,,,,,,,,,,,,,,,,8775.0,2568-11-01 00:00:00,6 เดือน,,,
W,75,4085,Studio,17,400,19,514,2.0,114.0,,,,,60.0,4.2,912.0,63.84,4500,225.0,4275.0,,5315.04,,,,,,,,,,,,,,,,,,,,,8775.0,2568-11-01 00:00:00,6 เดือน,,,
W,76,4086,Studio,3,170,3,171,0.0,1.0,,,,,0.0,0,8.0,0.56,4500,225.0,4275.0,,4283.56,,,,,,,,,,,,,,,,,,,,,8775.0,2568-11-01 00:00:00,6 เดือน,,,
W,77,4097,Studio,8,345,8,345,0.0,0.0,,,,,0.0,0,0.0,0.0,4500,225.0,4275.0,,4275.0,,,,,,,,,,,,,,,,,,,,,8775.0,2568-11-01 00:00:00,6 เดือน,,,
W,78,4098,Studio,9,221,9,222,0.0,1.0,,,,,0.0,0,8.0,0.56,4500,225.0,4275.0,,4283.56,,,,,,,,,,,,,,,,,,,,,8775.0,2568-11-01 00:00:00,6 เดือน,,,
W,79,4099,Studio,7,200,7,200,0.0,0.0,,,,,0.0,0,0.0,0.0,4500,225.0,4275.0,,4275.0,,,,,,,,,,,,,,,,,,,,,8775.0,2568-11-01 00:00:00,6 เดือน,,,
W,80,4100,Studio,8,265,8,266,0.0,1.0,,,,,0.0,0,8.0,0.56,4500,225.0,4275.0,,4283.56,,,,,,,,,,,,,,,,,,,,,8775.0,2568-11-01 00:00:00,6 เดือน,,,
W,81,4103,Studio,50,1961,56,2231,6.0,270.0,-,-,0,0,180.0,12.600000000000001,2160.0,151.20000000000002,4500,225.0,4275.0,,6778.799999999999,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2568-03-24 00:00:00,6 เดือน,31/9/2568,,
W,82,4104,Studio,29,874,29,988,0.0,114.0,-,-,0,0,0.0,0,912.0,63.84,4500,225.0,4275.0,,5250.84,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2568-03-24 00:00:00,6 เดือน,31/9/2568,,
W,83,4105,Studio,12,659,12,660,0.0,1.0,-,-,0,0,0.0,0,8.0,0.56,4500,225.0,4275.0,,4283.56,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2568-03-24 00:00:00,6 เดือน,31/9/2568,,
W,84,4106,Studio,31,2181,36,2444,5.0,263.0,-,-,0,0,150.0,10.500000000000002,2104.0,147.28,4500,225.0,4275.0,,6686.780000000001,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2568-03-24 00:00:00,6 เดือน,31/9/2568,,
