Zone,No.,Room No.,Room Type,น้ำ (แรกเข้า),ไฟ (แรกเข้า),น้ำ (ล่าสุด),ไฟ (ล่าสุด),ยูนิตน้ำ,ยูนิตไฟ,วันที่โอนประกัน+ล่วงหน้า,หมายเหตุ (บช.โอนเข้า),ค่าประกัน,ค่าเช่าล่วงหน้า เม.ย,ค่าน้ำ (บาท),VAt7% ค่าน้ำ,ค่าไฟ (บาท),VAt7% ค่าไฟ,ค่าห้องเดือน มี.ค 2569 (บาท),หัก 5%,ค่าเช่าหลังหัก 5%,วันที่จ่าย ค่าเช่า,จำนวนเงิน (บาท),บัญชีรับโอนค่าเช่า,Unnamed: 24,ค่าประกัน.1,ค่าเช่าล่วงหน้า/ค่าห้อง,ค่าทำความสะอาด,ค่าปรับ,ค่าน้ำ,ค่าไฟ,น้ำ (แรกเข้า).1,ไฟ (แรกเข้า).1,น้ำ (ล่าสุด).1,ไฟ (ล่าสุด).1,ยูนิตน้ำ.1,ยูนิตไฟ.1,ค่าใช้จ่ายทั้งสิ้น,ยอดเงินโอนคืนผู้เช่าย้ายออก (ธ.ค),วันที่คืนเงินย้ายออก (ธ.ค),เงินโอนคืนผู้เช่าย้ายออก (ม.ค),วันที่คืนเงินย้ายออก (ม.ค),วันที่ย้ายออก,บัญชีที่ใช้โอนคืนค่าเช่า,เงินประกัน (คงเหลือ),วันเข้าพัก,ระยะเวลา,ประมาณวันย้ายออก,สถานะ มัดจำ+ประกัน,หมายเหตุ,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61
N,48,5026,Studio IN 31/3/69,0,0,0,0,0.0,0,2569-04-10 00:00:00,M Estate 1983859190,4500,4275,0.0,0.0,0.0,0,0,0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,5500,2569-03-31 00:00:00,1 ปี,,,,,,,,,,,,,,,
N,49,5027,Studio IN 31/3/69,0,0,0,0,0.0,0,2569-04-10 00:00:00,M Estate 1983859190,4500,4275,0.0,0.0,0.0,0,0,0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,5500,2569-03-31 00:00:00,1 ปี,,,,,,,,,,,,,,,
N,50,5028,Studio IN 31/3/69,0,0,0,0,0.0,0,2569-04-10 00:00:00,M Estate 1983859190,4500,4275,0.0,0.0,0.0,0,0,0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,5500,2569-03-31 00:00:00,1 ปี,,,,,,,,,,,,,,,
N,51,5029,Studio IN 31/3/69,0,0,0,0,0.0,0,2569-04-10 00:00:00,M Estate 1983859190,4500,4275,0.0,0.0,0.0,0,0,0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,5500,2569-03-31 00:00:00,1 ปี,,,,,,,,,,,,,,,
N,52,5030,Studio IN 31/3/69,0,0,0,0,0.0,0,2569-04-10 00:00:00,M Estate 1983859190,4500,4275,0.0,0.0,0.0,0,0,0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,5500,2569-03-31 00:00:00,1 ปี,,,,,,,,,,,,,,,
N,53,5031,Studio IN 23/3/69,0,0,0,0,0.0,0,2569-04-01 00:00:00,M Estate 1983859190,5500,5225,0.0,0.0,0.0,0,0,0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,5500,2569-03-23 00:00:00,1 ปี,,,,,,,,,,,,,,,
N,54,5032,Studio IN 23/3/69,0,0,0,0,0.0,0,2569-04-01 00:00:00,M Estate 1983859190,5500,5225,0.0,0.0,0.0,0,0,0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,5500,2569-03-23 00:00:00,1 ปี,,,,,,,,,,,,,,,
N,55,5033,Studio IN 23/3/69,0,0,0,0,0.0,0,2569-04-01 00:00:00,M Estate 1983859190,5500,5225,0.0,0.0,0.0,0,0,0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,5500,2569-03-23 00:00:00,1 ปี,,,,,,,,,,,,,,,
N,56,5034,Studio IN 23/3/69,0,0,0,0,0.0,0,2569-04-01 00:00:00,M Estate 1983859190,5500,5225,0.0,0.0,0.0,0,0,0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,5500,2569-03-23 00:00:00,1 ปี,,,,,,,,,,,,,,,
N,57,5035,Studio IN 23/3/69,0,0,0,0,0.0,0,2569-04-01 00:00:00,M Estate 1983859190,5500,5225,0.0,0.0,0.0,0,0,0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,5500,2569-03-23 00:00:00,1 ปี,,,,,,,,,,,,,,,
N,58,5036,Studio IN 23/3/69,0,0,0,0,0.0,0,2569-04-01 00:00:00,M Estate 1983859190,5500,5225,0.0,0.0,0.0,0,0,0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,5500,2569-03-23 00:00:00,1 ปี,,,,,,,,,,,,,,,
,,,,,,ยูนิตน้ำ+ไฟ,,74.0,2724,,,171500,162925,2220.0,155.40000000000003,21792.0,1525.4400000000003,128660.69,6433.0345,122227.6555,,147920.4955,,,,0.0,0.0,0,0.0,0,,,,,0.0,0,0.0,0.0,,,,,,335500,,,,,,,,,,,,,,,,,
หมายเหตุ : ห้อง5021 - 5030 จำนวน 10 ห้อง เข้าพัก 31/3/69 ค่าเช่า 1 วัน ยกไปชำระพร้อมค่าเช่าเดือน พ.ค 69,,,,,,,,,,,สรุปเงินเข้าเดือนนี้,334425,,,,,หักภาษี ณ ที่จ่าย 5%,,6433.0345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,ค่าเช่า เดือน มี.ค 69,,,,,,,ประกัน + ล่วงหน้า 3004 Studio เป็น Suite 1/3/69,,,,,,,,ประกัน + ล่วงหน้า Studio 4077+4088 เข้าพัก 1/3/69,,,,,,,ประกัน + ล่วงหน้า  Studio 10 ห้อง เข้าพัก 15/3/69,,,,,,,,"ประกัน + ล่วงหน้า Studio 6 ห้อง ,Suite 2 เข้าพัก 23/3/69",,,,,,,ประกัน + ล่วงหน้า  Studio 10 ห้อง เข้าพัก 31/3/69 5021 - 5030,,,,,,,,,,,,,,,,,,,,,
,,,M Estate 1983859190,,,,,,,M Estate 1983859190,,,,,,,,M Estate 1983859190,,,,,,,M Estate 1983859190,,,,,,,,M Estate 1983859190,,,,,,,M Estate 1983859190,,,,,,,,,,,,,,,,,,,,,
,,,ยอดเข้า,,147920.4955,,2569-04-01 00:00:00,,,ยอดเข้า,10725,,2569-04-10 00:00:00,,,,,ยอดเข้า,21450,,2569-03-18 00:00:00,,,,ยอดเข้า,107250.0,,2569-04-01 00:00:00,,,,,ยอดเข้า,107250.0,,2569-04-01 00:00:00,,,,ยอดเข้า,87750.0,,2569-04-10 00:00:00,"ยอดค่าใช้จ่ายจริง 87,750 /โอน 107,250  (โอนเกิน 19,500 บาท)",,,,,,,,,,,,,,,,,
,,,ยอดออก,,0,,,,,ยอดออก,0,,,,,,,ยอดออก,0,,,,,,ยอดออก,0.0,,,,,,,ยอดออก,0.0,,,,,,ยอดออก,0.0,,,,,,,,,,,,,,,,,,,,
,,,=,,147920.4955,,,,,=,10725,,,,,,,=,21450,,,,,,=,107250.0,,,,,,,=,107250.0,,,,,,=,87750.0,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ห้องเช่า ครบ 50 ห้องขึ้นไป เมื่อวันที่ 31/3/69 (ห้อง 5021 - 5030),,,,,,,,,สลิปโอนค่าเช่าเดือน มี.ค 69,,,,,,,,,,ประกัน + ล่วงหน้า 3004 Studio เป็น Suite 1/3/69,,,,,,,,,,,ประกัน + ล่วงหน้า Studio 4077+4088 เข้าพัก 1/3/69,,,,,,,,,,ประกัน + ล่วงหน้า Studio 10 ห้อง เข้าพัก 15/3/69,,,,,,,,,,"ประกัน + ล่วงหน้า Studio 6 ห้อง ,Suite 2 เข้าพัก 23/3/69",,,,,,,,,,,ประกัน + ล่วงหน้า Studio 10 ห้อง 5021 - 5030 เข้าพัก 31/3/69
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ค่าน้ำ/ยูนิต (บาท),,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ค่าไฟ/ยูนิต (บาท),,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
หากห้องเช่าไม่เกิน 50 ห้อง ค่าเช่า Studio/เดือน (บาท),,,,5500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
หากห้องเช่า  50 ห้อง ขึ้นไป ค่าเช่า Studio/เดือน (บาท),,,,4500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
หากห้องเช่าไม่เกิน 50 ห้อง ค่าเช่า Suite /เดือน (บาท),,,,11000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
หากห้องเช่า  50 ห้อง ขึ้นไป ค่าเช่า Suite /เดือน (บาท),,,,9000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
สรุป,,ยูนิต,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
