Zone,No.,Room No.,Room Type,น้ำ (แรกเข้า),ไฟ (แรกเข้า),น้ำ (ล่าสุด),ไฟ (ล่าสุด),ยูนิตน้ำ,ยูนิตไฟ,วันที่โอนประกัน+ล่วงหน้า,หมายเหตุ (บช.โอนเข้า),ค่าประกัน,ค่าเช่าล่วงหน้า,ค่าน้ำ (บาท),Vat7% ค่าน้ำ,ค่าไฟ (บาท),Vat7% ค่าไฟ,ค่าห้องเดือน มี.ค 2569 (บาท),หัก 5%,ค่าเช่าหลังหัก 5%,วันที่จ่าย ค่าเช่า,จำนวนเงิน (บาท),บัญชีรับโอนค่าเช่า,ค่าประกัน.1,ค่าเช่าล่วงหน้า/ค่าห้อง,ค่าทำความสะอาด,ค่าปรับ,ค่าน้ำ,ค่าไฟ,น้ำ (แรกเข้า).1,ไฟ (แรกเข้า).1,น้ำ (ล่าสุด).1,ไฟ (ล่าสุด).1,ยูนิตน้ำ.1,ยูนิตไฟ.1,ค่าใช้จ่ายทั้งสิ้น,ยอดเงินโอนคืนผู้เช่าย้ายออก ,วันที่คืนเงินย้ายออก,เงินโอนคืนผู้เช่าย้ายออก ,วันที่คืนเงินย้ายออก ,วันที่ย้ายออก,บัญชีที่ใช้โอนคืนค่าเช่า,เงินประกัน+ล่วงหน้า (คงเหลือ),วันเข้าพัก,ระยะเวลา,ประมาณวันย้ายออก,สถานะ,หมายเหตุ
S,36,2044,Studio,57,1781,61,1903,4.0,122.0,-,-,-,-,120.0,8.4,976.0,68.32000000000001,4500,225.0,4275.0,,5447.72,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-27 00:00:00,6 เดือน,31/6/2568,,
S,37,2045,Studio,90,3540,97,3540,7.0,0.0,-,-,-,-,210.0,14.700000000000001,0.0,0.0,4500,225.0,4275.0,,4499.7,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-27 00:00:00,6 เดือน,31/6/2568,,
S,38,2046,Studio,9,1565,9,1639,0.0,74.0,-,-,-,-,0.0,0,592.0,41.440000000000005,4500,225.0,4275.0,,4908.4400000000005,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-27 00:00:00,6 เดือน,31/6/2568,,
S,39,2047,Studio,83,2259,90,2402,7.0,143.0,-,-,-,-,210.0,14.700000000000001,1144.0,80.08000000000001,4500,225.0,4275.0,,5723.78,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-27 00:00:00,6 เดือน,31/6/2568,,
S,40,2048,Studio,61,2551,68,2823,7.0,272.0,-,-,-,-,210.0,14.700000000000001,2176.0,152.32000000000002,4500,225.0,4275.0,,6828.02,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-27 00:00:00,6 เดือน,31/6/2568,,
,41,4009,Studio,22,1208,25,1365,3.0,157.0,,,,,90.0,6.300000000000001,1256.0,87.92,4500,225.0,4275.0,,5715.22,,,,,,,,,,,,,,,,,,,,,8775.0,2568-11-01 00:00:00,6 เดือน,,,
W,42,4011,Studio,82,4403,90,4810,8.0,407.0,-,-,-,-,240.0,16.8,3256.0,227.92000000000002,4500,225.0,4275.0,,8015.72,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2568-01-13 00:00:00,6 เดือน,2568-07-31 00:00:00,,
W,43,4012,Studio,59,2332,63,2512,4.0,180.0,-,-,-,-,120.0,8.4,1440.0,100.80000000000001,4500,225.0,4275.0,,5944.2,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2568-01-13 00:00:00,6 เดือน,2568-07-31 00:00:00,,
W,44,4013,Studio,74,2486,74,2486,0.0,0.0,-,-,-,-,0.0,0,0.0,0.0,4500,225.0,4275.0,,4275.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2568-01-13 00:00:00,6 เดือน,2568-07-31 00:00:00,,
W,45,4014,Studio,57,2068,60,2229,3.0,161.0,-,-,-,-,90.0,6.300000000000001,1288.0,90.16000000000001,4500,225.0,4275.0,,5749.46,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2568-01-13 00:00:00,6 เดือน,2568-07-31 00:00:00,,
W,46,4015,Studio,70,2040,76,2271,6.0,231.0,-,-,-,-,180.0,12.600000000000001,1848.0,129.36,4500,225.0,4275.0,,6444.96,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2568-01-13 00:00:00,6 เดือน,2568-07-31 00:00:00,,
W,47,4016,Studio,44,1425,44,1465,0.0,40.0,-,-,-,-,0.0,0,320.0,22.400000000000002,4500,225.0,4275.0,,4617.4,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2568-01-13 00:00:00,6 เดือน,2568-07-31 00:00:00,,
