Zone,No.,Room No.,Room Type,น้ำ (แรกเข้า),ไฟ (แรกเข้า),น้ำ (ล่าสุด),ไฟ (ล่าสุด),ยูนิตน้ำ,ยูนิตไฟ,วันที่โอนประกัน+ล่วงหน้า,หมายเหตุ (บช.โอนเข้า),ค่าประกัน,ค่าเช่าล่วงหน้า พ.ค,ค่าน้ำ (บาท),VAt7% ค่าน้ำ,ค่าไฟ (บาท),VAt7% ค่าไฟ,ค่าห้องเดือน พ.ค 2569 (บาท),หัก 5%,ค่าเช่าหลังหัก 5%,วันที่จ่าย ค่าเช่า,จำนวนเงิน (บาท),บัญชีรับโอนค่าเช่า,Unnamed: 24,ค่าประกัน.1,ค่าเช่ารับล่วงหน้า ค่าเช่า เม.ย,ค่าเช่าห้อง เม.ย,ค่าทำความสะอาด,Vat7% ค่าทำความสะอาด,ค่าปรับ,Vat7% ค่าปรับ,ค่าน้ำ,Vat7% ค่าน้ำ,ค่าไฟ,Vat7% ค่าไฟ,น้ำ (แรกเข้า).1,ไฟ (แรกเข้า).1,น้ำ (ล่าสุด).1,ไฟ (ล่าสุด).1,ยูนิตน้ำ.1,ยูนิตไฟ.1,ค่าใช้จ่ายทั้งสิ้น,เงินโอนคืนผู้เช่าย้ายออก,วันที่คืนเงินย้ายออก,วันที่ย้ายออก,บัญชีที่ใช้โอนคืนค่าเช่า,เงินประกัน (คงเหลือ),วันเข้าพัก,ระยะเวลา,ประมาณวันย้ายออก,สถานะ มัดจำ+ประกัน,หมายเหตุ
N,44,5021,Studio IN 31/3/69,1,7,6,297,5.0,290,,,,,150.0,10.500000000000002,2320,162.4,4645.16,232.258,4412.902,,7055.802,,,,,,,,,,,,,,,,,,,,,,,,,5500.0,2569-03-31 00:00:00,1 ปี,,,
N,45,5022,Studio IN 31/3/69,1,10,6,350,5.0,340,,,,,150.0,10.500000000000002,2720,190.4,4645.16,232.258,4412.902,,7483.802,,,,,,,,,,,,,,,,,,,,,,,,,5500.0,2569-03-31 00:00:00,1 ปี,,,
N,46,5023,Studio IN 31/3/69,1,6,6,188,5.0,182,,,,,150.0,10.500000000000002,1456,101.92000000000002,4645.16,232.258,4412.902,,6131.322,,,,,,,,,,,,,,,,,,,,,,,,,5500.0,2569-03-31 00:00:00,1 ปี,,,
N,47,5024,Studio IN 31/3/69,4,16,7,170,3.0,154,,,,,90.0,6.300000000000001,1232,86.24000000000001,4645.16,232.258,4412.902,,5827.442,,,,,,,,,,,,,,,,,,,,,,,,,5500.0,2569-03-31 00:00:00,1 ปี,,,
N,48,5025,Studio IN 31/3/69,7,11,10,181,3.0,170,,,,,90.0,6.300000000000001,1360,95.2,4645.16,232.258,4412.902,,5964.402,,,,,,,,,,,,,,,,,,,,,,,,,5500.0,2569-03-31 00:00:00,1 ปี,,,
N,49,5026,Studio IN 31/3/69,1,7,3,98,2.0,91,,,,,60.0,4.2,728,50.96000000000001,4645.16,232.258,4412.902,,5256.062,,,,,,,,,,,,,,,,,,,,,,,,,5500.0,2569-03-31 00:00:00,1 ปี,,,
N,50,5027,Studio IN 31/3/69,1,14,2,108,1.0,94,,,,,30.0,2.1,752,52.64000000000001,4645.16,232.258,4412.902,,5249.642,,,,,,,,,,,,,,,,,,,,,,,,,5500.0,2569-03-31 00:00:00,1 ปี,,,
N,51,5028,Studio IN 31/3/69,1,11,14,188,13.0,177,,,,,390.0,27.300000000000004,1416,99.12,4645.16,232.258,4412.902,,6345.322,,,,,,,,,,,,,,,,,,,,,,,,,5500.0,2569-03-31 00:00:00,1 ปี,,,
N,52,5029,Studio IN 31/3/69,1,7,3,236,2.0,229,,,,,60.0,4.2,1832,128.24,4645.16,232.258,4412.902,,6437.342000000001,,,,,,,,,,,,,,,,,,,,,,,,,5500.0,2569-03-31 00:00:00,1 ปี,,,
N,53,5030,Studio IN 31/3/69,1,14,9,164,8.0,150,,,,,240.0,16.8,1200,84.00000000000001,4645.16,232.258,4412.902,,5953.702,,,,,,,,,,,,,,,,,,,,,,,,,5500.0,2569-03-31 00:00:00,1 ปี,,,
