Zone,No.,Room No.,Room Type,น้ำ (แรกเข้า),ไฟ (แรกเข้า),น้ำ (ล่าสุด),ไฟ (ล่าสุด),ยูนิตน้ำ,ยูนิตไฟ,วันที่โอนประกัน+ล่วงหน้า,หมายเหตุ (บช.โอนเข้า),ค่าประกัน,ค่าเช่าล่วงหน้า,ค่าน้ำ (บาท),Vat7% ค่าน้ำ,ค่าไฟ (บาท),Vat7% ค่าไฟ,ค่าห้องเดือน พ.ย 2568 (บาท),หัก 5%,ค่าเช่าหลัง หัก 5%,วันที่จ่าย ค่าเช่า,จำนวนเงิน (บาท),บัญชีรับโอนค่าเช่า,ค่าประกัน.1,ค่าเช่าล่วงหน้า/ค่าห้อง,ค่าทำความสะอาด,ค่าปรับ,ค่าน้ำ,ค่าไฟ,น้ำ (แรกเข้า).1,ไฟ (แรกเข้า).1,น้ำ (ล่าสุด).1,ไฟ (ล่าสุด).1,ยูนิตน้ำ.1,ยูนิตไฟ.1,ค่าใช้จ่ายทั้งสิ้น,ยอดเงินโอนคืนผู้เช่าย้ายออก ,วันที่คืนเงินย้ายออก,เงินโอนคืนผู้เช่าย้ายออก ,วันที่คืนเงินย้ายออก ,วันที่ย้ายออก,บัญชีที่ใช้โอนคืนค่าเช่า,เงินประกัน+ล่วงหน้า (คงเหลือ),วันเข้าพัก,ระยะเวลา,ประมาณวันย้ายออก,สถานะ,หมายเหตุ
W,43,4012,Studio,42,1827,46,1973,4.0,146.0,-,-,-,-,120.0,8.4,1168.0,81.76,4500,225.0,4275.0,2568-12-10 00:00:00,5653.16,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2568-01-13 00:00:00,6 เดือน,2568-07-31 00:00:00,,
W,44,4013,Studio,60,1934,66,2146,6.0,212.0,-,-,-,-,180.0,12.600000000000001,1696.0,118.72000000000001,4500,225.0,4275.0,2568-12-10 00:00:00,6282.32,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2568-01-13 00:00:00,6 เดือน,2568-07-31 00:00:00,,
W,45,4014,Studio,45,1575,49,1727,4.0,152.0,-,-,-,-,120.0,8.4,1216.0,85.12,4500,225.0,4275.0,2568-12-10 00:00:00,5704.52,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2568-01-13 00:00:00,6 เดือน,2568-07-31 00:00:00,,
W,46,4015,Studio,43,1217,50,1402,7.0,185.0,-,-,-,-,210.0,14.700000000000001,1480.0,103.60000000000001,4500,225.0,4275.0,2568-12-10 00:00:00,6083.3,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2568-01-13 00:00:00,6 เดือน,2568-07-31 00:00:00,,
W,47,4016,Studio,38,1283,41,1357,3.0,74.0,-,-,-,-,90.0,6.300000000000001,592.0,41.440000000000005,4500,225.0,4275.0,2568-12-10 00:00:00,5004.74,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2568-01-13 00:00:00,6 เดือน,2568-07-31 00:00:00,,
W,48,4017,Studio,29,1474,29,1480,0.0,6.0,-,-,-,-,0.0,0,48.0,3.3600000000000003,4500,225.0,4275.0,2568-12-10 00:00:00,4326.36,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2568-01-13 00:00:00,6 เดือน,2568-07-31 00:00:00,,
W,49,4018,Studio,43,1214,43,1232,0.0,18.0,-,-,-,-,0.0,0,144.0,10.080000000000002,4500,225.0,4275.0,2568-12-10 00:00:00,4429.08,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2568-01-13 00:00:00,6 เดือน,2568-07-31 00:00:00,,
W,50,4019,Studio,30,1283,32,1367,2.0,84.0,-,-,-,-,60.0,4.2,672.0,47.040000000000006,4500,225.0,4275.0,2568-12-10 00:00:00,5058.24,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2568-01-13 00:00:00,6 เดือน,2568-07-31 00:00:00,,
W,51,4020,Studio,34,1962,41,2320,7.0,358.0,-,-,-,-,210.0,14.700000000000001,2864.0,200.48000000000002,4500,225.0,4275.0,2568-12-10 00:00:00,7564.18,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2568-01-13 00:00:00,6 เดือน,2568-07-31 00:00:00,,
W,52,4021,Studio,11,520,11,520,0.0,0.0,10/12/2568,M Estate 1983859190,4500,4275,0.0,0,0.0,0.0,4500,225.0,4275.0,2568-12-10 00:00:00,4275.0,,,,,,,,,,,,,,,,,,,,,8775.0,2568-11-01 00:00:00,6 เดือน,,,
