Zone,No.,Room No.,Room Type,น้ำ (แรกเข้า),ไฟ (แรกเข้า),น้ำ (ล่าสุด),ไฟ (ล่าสุด),ยูนิตน้ำ,ยูนิตไฟ,วันที่โอนประกัน+ล่วงหน้า,หมายเหตุ (บช.โอนเข้า),ค่าประกัน,ค่าเช่าล่วงหน้า,ค่าน้ำ (บาท),Vat7% ค่าน้ำ,ค่าไฟ (บาท),Vat7% ค่าไฟ,ค่าห้องเดือน ธ.ค 2568 (บาท),หัก 5%,ค่าเช่าหลังหัก 5%,วันที่จ่าย ค่าเช่าข้ามไปเดือน ม.ค,จำนวนเงิน (บาท),บัญชีรับโอนค่าเช่า,ค่าประกัน.1,ค่าเช่าล่วงหน้า/ค่าห้อง,ค่าทำความสะอาด,ค่าปรับ,ค่าน้ำ,ค่าไฟ,น้ำ (แรกเข้า).1,ไฟ (แรกเข้า).1,น้ำ (ล่าสุด).1,ไฟ (ล่าสุด).1,ยูนิตน้ำ.1,ยูนิตไฟ.1,ค่าใช้จ่ายทั้งสิ้น,ยอดเงินโอนคืนผู้เช่าย้ายออก ,วันที่คืนเงินย้ายออก,เงินโอนคืนผู้เช่าย้ายออก ,วันที่คืนเงินย้ายออก ,วันที่ย้ายออก,บัญชีที่ใช้โอนคืนค่าเช่า,เงินประกัน+ล่วงหน้า (คงเหลือ),วันเข้าพัก,ระยะเวลา,ประมาณวันย้ายออก,สถานะ,หมายเหตุ
S,26,2034,Studio,27,1578,29,1621,2.0,43.0,-,-,-,-,60.0,4.2,344.0,24.080000000000002,4500,225.0,4275.0,2569-01-23 00:00:00,4707.28,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-24 00:00:00,6 เดือน,31/6/2568,,
S,27,2035,Studio,33,897,35,952,2.0,55.0,-,-,-,-,60.0,4.2,440.0,30.800000000000004,4500,225.0,4275.0,2569-01-23 00:00:00,4810.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-24 00:00:00,6 เดือน,31/6/2568,,
S,28,2036,Studio,55,1695,56,1731,1.0,36.0,-,-,-,-,30.0,2.1,288.0,20.160000000000004,4500,225.0,4275.0,2569-01-23 00:00:00,4615.26,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-24 00:00:00,6 เดือน,31/6/2568,,
S,29,2037,Studio,21,1269,22,1303,1.0,34.0,-,-,-,-,30.0,2.1,272.0,19.040000000000003,4500,225.0,4275.0,2569-01-23 00:00:00,4598.14,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-24 00:00:00,6 เดือน,31/6/2568,,
S,30,2038,Studio,42,2374,44,2461,2.0,87.0,-,-,-,-,60.0,4.2,696.0,48.720000000000006,4500,225.0,4275.0,2569-01-23 00:00:00,5083.92,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-24 00:00:00,6 เดือน,31/6/2568,,
S,31,2039,Studio,42,1692,44,1770,2.0,78.0,-,-,-,-,60.0,4.2,624.0,43.68000000000001,4500,225.0,4275.0,2569-01-23 00:00:00,5006.88,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-27 00:00:00,6 เดือน,31/6/2568,,
S,32,2040,Studio,36,2325,37,2402,1.0,77.0,-,-,-,-,30.0,2.1,616.0,43.120000000000005,4500,225.0,4275.0,2569-01-23 00:00:00,4966.22,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-27 00:00:00,6 เดือน,31/6/2568,,
S,33,2041,Studio,37,1576,39,1676,2.0,100.0,-,-,-,-,60.0,4.2,800.0,56.00000000000001,4500,225.0,4275.0,2569-01-23 00:00:00,5195.2,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-27 00:00:00,6 เดือน,31/6/2568,,
S,34,2042,Studio,39,1154,41,1219,2.0,65.0,-,-,-,-,60.0,4.2,520.0,36.400000000000006,4500,225.0,4275.0,2569-01-23 00:00:00,4895.6,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-27 00:00:00,6 เดือน,31/6/2568,,
S,35,2043,Studio,32,1602,34,1700,2.0,98.0,-,-,-,-,60.0,4.2,784.0,54.88,4500,225.0,4275.0,2569-01-23 00:00:00,5178.08,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-27 00:00:00,6 เดือน,31/6/2568,,
