Zone,No.,Room No.,Room Type,น้ำ (แรกเข้า),ไฟ (แรกเข้า),น้ำ (ล่าสุด),ไฟ (ล่าสุด),ยูนิตน้ำ,ยูนิตไฟ,วันที่โอนประกัน+ล่วงหน้า,หมายเหตุ (บช.โอนเข้า),ค่าประกัน,ค่าเช่าล่วงหน้า,ค่าน้ำ (บาท),ค่าไฟ (บาท),ค่าห้องเดือน ส.ค 2568 (บาท),วันที่จ่าย ค่าเช่าในเดือน ส.ค,จำนวนเงิน (บาท),วันที่จ่าย ค่าเช่าข้ามไปเดือน ก.ย,จำนวนเงิน (บาท).1,บัญชีรับโอนค่าเช่า,ค่าประกัน.1,ค่าเช่าล่วงหน้า/ค่าห้อง,ค่าทำความสะอาด,ค่าปรับ,ค่าน้ำ,ค่าไฟ,น้ำ (แรกเข้า).1,ไฟ (แรกเข้า).1,น้ำ (ล่าสุด).1,ไฟ (ล่าสุด).1,ยูนิตน้ำ.1,ยูนิตไฟ.1,ค่าใช้จ่ายทั้งสิ้น,ยอดเงินโอนคืนผู้เช่าย้ายออก ,วันที่คืนเงินย้ายออก,เงินโอนคืนผู้เช่าย้ายออก ส.ค,วันที่คืนเงินย้ายออก ,วันที่ย้ายออก,บัญชีที่ใช้โอนคืนค่าเช่า,เงินประกัน+ล่วงหน้า (คงเหลือ),วันเข้าพัก,ระยะเวลา,ประมาณวันย้ายออก,สถานะ,หมายเหตุ
C,27,3029,Suite,49,988,67,1511,18.0,523.0,,,,,540,4184.0,13600,,,,18324.0,,,,,,,,,,,,,,,,,,,,,27200.0,2568-06-25 00:00:00,6 เดือน,,,
C,28,3036,Studio,31,1216,34,1542,3.0,326.0,-,-,-,-,90,2608.0,6800,-,-,,9498.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13600.0,2568-04-09 00:00:00,6 เดือน,,,
C,29,3038,Studio,26,921,35,1197,9.0,276.0,-,-,-,-,270,2208.0,6800,-,-,,9278.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13600.0,2568-05-07 00:00:00,6 เดือน,,,
C,30,3039,Studio,31,1459,35,1718,4.0,259.0,-,-,-,-,120,2072.0,6800,-,-,,8992.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13600.0,2568-05-07 00:00:00,6 เดือน,,,
W,31,4119,Studio,3,83,3,84,0.0,1.0,26/8/2568,M Estate 1983859190,6800,6800,0,8.0,1316.13,,,,1324.13,,,,,,,,,,,,,,,,,,,,,13600.0,2568-08-26 00:00:00,6 เดือน,,,
W,32,4124,Studio,1,1,3,84,2.0,83.0,26/8/2568,M Estate 1983859190,6800,6800,60,664.0,3070.97,,,,3794.97,,,,,,,,,,,,,,,,,,,,,13600.0,2568-08-18 00:00:00,6 เดือน,,,
W,33,4125,Studio,0,1,2,63,2.0,62.0,26/8/2568,M Estate 1983859190,6800,6800,60,496.0,3070.97,,,,3626.97,,,,,,,,,,,,,,,,,,,,,13600.0,2568-08-18 00:00:00,6 เดือน,,,
W,34,4126,Studio,0,0,2,48,2.0,48.0,26/8/2568,M Estate 1983859190,6800,6800,60,384.0,3070.97,,,,3514.97,,,,,,,,,,,,,,,,,,,,,13600.0,2568-08-18 00:00:00,6 เดือน,,,
W,35,4127,Studio,0,0,1,33,1.0,33.0,26/8/2568,M Estate 1983859190,6800,6800,30,264.0,3070.97,,,,3364.97,,,,,,,,,,,,,,,,,,,,,13600.0,2568-08-18 00:00:00,6 เดือน,,,
,,,,,,ยูนิตน้ำ+ไฟ,,192.0,8476.0,,,61200,61200,5760,67808.0,225496.78,0,0,,299064.7799999999,,,0,0,0,0,0,,,,,0,0,0,0,,0,,,,489600.0,,,,,
,,,,,,,,,,,สรุปเงินเข้าเดือนนี้,122400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,คืนย้ายออก,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,10/9/2568 & 11/9/2568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,ยอดเข้า,299064.78,,M Estate 1983859190,,,,ยอดเข้า,122400,,M Estate 1983859190,,16/8/2568 & 26/8/2568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,ยอดออก,0,,,,,,ยอดออก,0,,k.ณรงค์ 0581083912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,=,299064.78,,,,,,=,122400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,สลิปโอนค่าเช่า ส.ค,,,,,,,สลิปโอนประกัน + ล่วงหน้า 3028 3011 3023,,,,,สลิปโอนประกัน + ล่วงหน้า 2025 4124 4125 4126 4127 4119,,,,,,,,,,,,,,,,,,,,,,,,
,,ค่าน้ำ/ยูนิต (บาท),,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ค่าไฟ/ยูนิต (บาท),,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ค่าเช่า Studio/เดือน (บาท),,,,6800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ค่าเช่า Suite/เดือน (บาท),,,,13600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,สรุป,,ยูนิต,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,จำนวนห้องเช่า,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,รายได้ค่าเช่า,,225496.78,บาท,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ค่าน้ำ,,192,5760,บาท,5760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ค่าไฟ,,8476,67808,บาท,67808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ค่าทำความสะอาด,,,0,บาท,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ค่าปรับ,,,0,บาท,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,รวม,,,299064.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ค้างชำระรวม,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
