Zone,No.,Room No.,Room Type,น้ำ (แรกเข้า),ไฟ (แรกเข้า),น้ำ (ล่าสุด),ไฟ (ล่าสุด),ยูนิตน้ำ,ยูนิตไฟ,วันที่โอนประกัน+ล่วงหน้า,หมายเหตุ (บช.โอนเข้า),ค่าประกัน,ค่าเช่าล่วงหน้า,ค่าน้ำ (บาท),ค่าไฟ (บาท),ค่าห้องเดือน ต.ค 2568 (บาท),วันที่จ่าย ค่าเช่าในเดือน ต.ค,จำนวนเงิน (บาท),วันที่จ่าย ค่าเช่าข้ามไปเดือน พ.ย,จำนวนเงิน (บาท).1,บัญชีรับโอนค่าเช่า,ค่าประกัน.1,ค่าเช่าล่วงหน้า/ค่าห้อง,ค่าทำความสะอาด,ค่าปรับ,ค่าน้ำ,ค่าไฟ,น้ำ (แรกเข้า).1,ไฟ (แรกเข้า).1,น้ำ (ล่าสุด).1,ไฟ (ล่าสุด).1,ยูนิตน้ำ.1,ยูนิตไฟ.1,ค่าใช้จ่ายทั้งสิ้น,ยอดเงินโอนคืนผู้เช่าย้ายออก ,วันที่คืนเงินย้ายออก,เงินโอนคืนผู้เช่าย้ายออก ส.ค,วันที่คืนเงินย้ายออก ,วันที่ย้ายออก,บัญชีที่ใช้โอนคืนค่าเช่า,เงินประกัน+ล่วงหน้า (คงเหลือ),วันเข้าพัก,ระยะเวลา,ประมาณวันย้ายออก,สถานะ,หมายเหตุ
C,31,3039,Studio,41,1906,47,2091,6.0,185.0,-,-,-,-,180,1480.0,6800,-,-,,8460.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13600.0,2568-05-07 00:00:00,6 เดือน,,,
W,32,4061,Studio,14,614,17,738,3.0,124.0,8/10/2568,M Estate 1983859190,6800,6800,90,992.0,5703.23,,,,6785.23,,,,,,,,,,,,,,,,,,,,,13600.0,2568-10-06 00:00:00,6 เดือน,,,
W,33,4062,Studio,10,408,14,549,4.0,141.0,8/10/2568,M Estate 1983859190,6800,6800,120,1128.0,5703.23,,,,6951.23,,,,,,,,,,,,,,,,,,,,,13600.0,2568-10-06 00:00:00,6 เดือน,,,
W,34,4077,Studio,13,650,20,1166,7.0,516.0,,,,,210,4128.0,6800,,,,11138.0,,,,,,,,,,,,,,,,,,,,,13600.0,2568-09-01 00:00:00,6 เดือน,,,
W,35,4119,Studio,8,248,14,515,6.0,267.0,,,,,180,2136.0,6800,,,,9116.0,,,,,,,,,,,,,,,,,,,,,13600.0,2568-08-26 00:00:00,6 เดือน,,,
W,36,4124,Studio,11,457,21,899,10.0,442.0,,,,,300,3536.0,6800,,,,10636.0,,,,,,,,,,,,,,,,,,,,,13600.0,2568-08-18 00:00:00,6 เดือน,,,
W,37,4125,Studio,6,210,8,333,2.0,123.0,,,,,60,984.0,6800,,,,7844.0,,,,,,,,,,,,,,,,,,,,,13600.0,2568-08-18 00:00:00,6 เดือน,,,
W,38,4126,Studio,7,258,12,499,5.0,241.0,,,,,150,1928.0,6800,,,,8878.0,,,,,,,,,,,,,,,,,,,,,13600.0,2568-08-18 00:00:00,6 เดือน,,,
W,39,4127,Studio,8,221,17,451,9.0,230.0,,,,,270,1840.0,6800,,,,8910.0,,,,,,,,,,,,,,,,,,,,,13600.0,2568-08-18 00:00:00,6 เดือน,,,
W,40,4131,Studio,13,728,15,904,2.0,176.0,11/10/2568,M Estate 1983859190,6800,6800,60,1408.0,4606.45,,,,6074.45,,,,,,,,,,,,,,,,,,,,,13600.0,2568-10-11 00:00:00,6 เดือน,,,
,,,,,,ยูนิตน้ำ+ไฟ,,215.0,9939.0,,,27200,27200,6450,79512.0,283625.81,0,0,,369587.81,,,0,0,0,0,0,,,,,0,0,0,0,,0,,,,571200.0,,,,,
,,,,,,,,,,,สรุปเงินเข้าเดือนนี้,54400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,คืนย้ายออก,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11 & 14 /11/2568,,ค่าเช่า เดือน ตุลาคม,,,,,,,ประกัน + ล่วงหน้า 4061 4062 เข้าพัก 6/10/68,,,,,,,,ประกัน + ล่วงหน้า 3032 4131 เข้าพัก 11/10/68,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,ยอดเข้า,369587.81,,M Estate 1983859190,,,,ยอดเข้า,54400,,M Estate 1983859190,,2568-10-08 00:00:00,,,ยอดเข้า,40800.0,,M Estate 1983859190,,2568-10-11 00:00:00,,,,,,,,,,,,,,,,,,,,,,
,,,,ยอดออก,0,,k.ณรงค์ 0581083912,,,,ยอดออก,0,,k.ณรงค์ 0581083912,,,,,ยอดออก,0.0,,k.ณรงค์ 0581083912,,,,,,,,,,,,,,,,,,,,,,,,
,,,,=,369587.81,,,,,,=,54400,,,,,,,=,40800.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,สลิปโอนค่าเช่า ต.ค,,,,,,,สลิปโอนประกัน + ล่วงหน้า 4061 4062 เข้าพัก 6/10/68,,,,,,,ประกัน + ล่วงหน้า 3032 4131 เข้าพัก 11/10/68,,,,,,,,,,,,,,,,,,,,,,
,,ค่าน้ำ/ยูนิต (บาท),,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ค่าไฟ/ยูนิต (บาท),,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ค่าเช่า Studio/เดือน (บาท),,,,6800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ค่าเช่า Suite/เดือน (บาท),,,,13600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,สรุป,,ยูนิต,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,จำนวนห้องเช่า,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,รายได้ค่าเช่า,,283625.81,บาท,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ค่าน้ำ,,215,6450,บาท,6450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ค่าไฟ,,9939,79512,บาท,79512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ค่าทำความสะอาด,,,0,บาท,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ค่าปรับ,,,0,บาท,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,รวม,,,369587.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ค้างชำระรวม,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
